"City","State","year","month","precip"
"Raleigh","NC","1981","01",29.1539993286133
"Highlands","NC","1981","01",19.9179992675781
"Manteo","NC","1981","01",37.6040000915527
"Topeka","KS","1981","01",0.790000021457672
"Ann Arbor","MI","1981","01",17.5209999084473
"New York","NY","1981","01",11.7709999084473
"San Diego","CA","1981","01",38.6049995422363
"Flagstaff","AZ","1981","01",21.7299995422363
"Ajo ","AZ","1981","01",23.9559993743896
"Portland","OR","1981","01",43.9780006408691
"Raleigh","NC","1981","02",84.7360000610352
"Highlands","NC","1981","02",245.287002563477
"Manteo","NC","1981","02",61.5610008239746
"Topeka","KS","1981","02",16.1989994049072
"Ann Arbor","MI","1981","02",79.4369964599609
"New York","NY","1981","02",161.947998046875
"San Diego","CA","1981","02",35.7290000915527
"Flagstaff","AZ","1981","02",26.1650009155273
"Ajo ","AZ","1981","02",6.93499994277954
"Portland","OR","1981","02",99.8489990234375
"Raleigh","NC","1981","03",53.8959999084473
"Highlands","NC","1981","03",135.798004150391
"Manteo","NC","1981","03",61.4000015258789
"Topeka","KS","1981","03",38.5449981689453
"Ann Arbor","MI","1981","03",25.4349994659424
"New York","NY","1981","03",33.8279991149902
"San Diego","CA","1981","03",100.204002380371
"Flagstaff","AZ","1981","03",91.3949966430664
"Ajo ","AZ","1981","03",40.7290000915527
"Portland","OR","1981","03",69.3870010375977
"Raleigh","NC","1981","04",17.3169994354248
"Highlands","NC","1981","04",75.4779968261719
"Manteo","NC","1981","04",36.8889999389648
"Topeka","KS","1981","04",53.734001159668
"Ann Arbor","MI","1981","04",99.8789978027344
"New York","NY","1981","04",83.5179977416992
"San Diego","CA","1981","04",10.9739999771118
"Flagstaff","AZ","1981","04",34.4029998779297
"Ajo ","AZ","1981","04",7.6230001449585
"Portland","OR","1981","04",79.2750015258789
"Raleigh","NC","1981","05",71.068000793457
"Highlands","NC","1981","05",247.242004394531
"Manteo","NC","1981","05",104.500999450684
"Topeka","KS","1981","05",175.382995605469
"Ann Arbor","MI","1981","05",90.4420013427734
"New York","NY","1981","05",125.656997680664
"San Diego","CA","1981","05",2.65300011634827
"Flagstaff","AZ","1981","05",20.6889991760254
"Ajo ","AZ","1981","05",4.15500020980835
"Portland","OR","1981","05",50.8950004577637
"Raleigh","NC","1981","06",59.9249992370605
"Highlands","NC","1981","06",101.689002990723
"Manteo","NC","1981","06",112.339996337891
"Topeka","KS","1981","06",207.352005004883
"Ann Arbor","MI","1981","06",89.3629989624023
"New York","NY","1981","06",61.2369995117188
"San Diego","CA","1981","06",0
"Flagstaff","AZ","1981","06",20.8040008544922
"Ajo ","AZ","1981","06",0
"Portland","OR","1981","06",101.077003479004
"Raleigh","NC","1981","07",97.9789962768555
"Highlands","NC","1981","07",117.22200012207
"Manteo","NC","1981","07",146.171005249023
"Topeka","KS","1981","07",190.326995849609
"Ann Arbor","MI","1981","07",85.7429962158203
"New York","NY","1981","07",120.706001281738
"San Diego","CA","1981","07",0
"Flagstaff","AZ","1981","07",94.2160034179688
"Ajo ","AZ","1981","07",15.378999710083
"Portland","OR","1981","07",7.83599996566772
"Raleigh","NC","1981","08",144.404006958008
"Highlands","NC","1981","08",40.8650016784668
"Manteo","NC","1981","08",275.003997802734
"Topeka","KS","1981","08",89.3430023193359
"Ann Arbor","MI","1981","08",92.0250015258789
"New York","NY","1981","08",24.6319999694824
"San Diego","CA","1981","08",0
"Flagstaff","AZ","1981","08",104.23999786377
"Ajo ","AZ","1981","08",57.2779998779297
"Portland","OR","1981","08",1.192999958992
"Raleigh","NC","1981","09",61.3139991760254
"Highlands","NC","1981","09",148.712005615234
"Manteo","NC","1981","09",54.0429992675781
"Topeka","KS","1981","09",80.2829971313477
"Ann Arbor","MI","1981","09",145.557998657227
"New York","NY","1981","09",94.9000015258789
"San Diego","CA","1981","09",0
"Flagstaff","AZ","1981","09",91.7850036621094
"Ajo ","AZ","1981","09",19.9969997406006
"Portland","OR","1981","09",70.7620010375977
"Raleigh","NC","1981","10",94.2620010375977
"Highlands","NC","1981","10",136.591995239258
"Manteo","NC","1981","10",46.8429985046387
"Topeka","KS","1981","10",74.7770004272461
"Ann Arbor","MI","1981","10",99.265998840332
"New York","NY","1981","10",100.962997436523
"San Diego","CA","1981","10",8.125
"Flagstaff","AZ","1981","10",48.984001159668
"Ajo ","AZ","1981","10",11.5959997177124
"Portland","OR","1981","10",116.883003234863
"Raleigh","NC","1981","11",23.0779991149902
"Highlands","NC","1981","11",77.411003112793
"Manteo","NC","1981","11",46.701000213623
"Topeka","KS","1981","11",101.666000366211
"Ann Arbor","MI","1981","11",41.9300003051758
"New York","NY","1981","11",41.9819984436035
"San Diego","CA","1981","11",36.9189987182617
"Flagstaff","AZ","1981","11",55.4720001220703
"Ajo ","AZ","1981","11",30.443000793457
"Portland","OR","1981","11",144.386001586914
"Raleigh","NC","1981","12",109.052001953125
"Highlands","NC","1981","12",197.975997924805
"Manteo","NC","1981","12",151.906997680664
"Topeka","KS","1981","12",18.2849998474121
"Ann Arbor","MI","1981","12",54.0519981384277
"New York","NY","1981","12",119.61499786377
"San Diego","CA","1981","12",15.8170003890991
"Flagstaff","AZ","1981","12",4.7189998626709
"Ajo ","AZ","1981","12",0
"Portland","OR","1981","12",269.472991943359
"Raleigh","NC","1991","01",122.570999145508
"Highlands","NC","1991","01",203.65299987793
"Manteo","NC","1991","01",190.287002563477
"Topeka","KS","1991","01",17.4769992828369
"Ann Arbor","MI","1991","01",44.0180015563965
"New York","NY","1991","01",99.7210006713867
"San Diego","CA","1991","01",24.1189994812012
"Flagstaff","AZ","1991","01",39.6529998779297
"Ajo ","AZ","1991","01",17.1700000762939
"Portland","OR","1991","01",84.1259994506836
"Raleigh","NC","1991","02",15.6680002212524
"Highlands","NC","1991","02",124.894996643066
"Manteo","NC","1991","02",14.2790002822876
"Topeka","KS","1991","02",0.529999971389771
"Ann Arbor","MI","1991","02",40.931999206543
"New York","NY","1991","02",41.5009994506836
"San Diego","CA","1991","02",24.5270004272461
"Flagstaff","AZ","1991","02",20.4039993286133
"Ajo ","AZ","1991","02",3.24799990653992
"Portland","OR","1991","02",128.481994628906
"Raleigh","NC","1991","03",128.507995605469
"Highlands","NC","1991","03",306.825988769531
"Manteo","NC","1991","03",154.11799621582
"Topeka","KS","1991","03",66.6650009155273
"Ann Arbor","MI","1991","03",54.5110015869141
"New York","NY","1991","03",123.764999389648
"San Diego","CA","1991","03",205.182006835938
"Flagstaff","AZ","1991","03",246.285995483398
"Ajo ","AZ","1991","03",51.6220016479492
"Portland","OR","1991","03",115.177001953125
"Raleigh","NC","1991","04",42.8269996643066
"Highlands","NC","1991","04",257.820007324219
"Manteo","NC","1991","04",29.2940006256104
"Topeka","KS","1991","04",115.625
"Ann Arbor","MI","1991","04",75.9309997558594
"New York","NY","1991","04",95.0970001220703
"San Diego","CA","1991","04",3.36199998855591
"Flagstaff","AZ","1991","04",0
"Ajo ","AZ","1991","04",0
"Portland","OR","1991","04",106.670997619629
"Raleigh","NC","1991","05",90.9509963989258
"Highlands","NC","1991","05",279.580993652344
"Manteo","NC","1991","05",0.541999995708466
"Topeka","KS","1991","05",160.375
"Ann Arbor","MI","1991","05",88.7239990234375
"New York","NY","1991","05",85.4820022583008
"San Diego","CA","1991","05",0
"Flagstaff","AZ","1991","05",0.513999998569489
"Ajo ","AZ","1991","05",0
"Portland","OR","1991","05",104.574996948242
"Raleigh","NC","1991","06",113.636001586914
"Highlands","NC","1991","06",195.444000244141
"Manteo","NC","1991","06",110.033996582031
"Topeka","KS","1991","06",70.9000015258789
"Ann Arbor","MI","1991","06",48.2239990234375
"New York","NY","1991","06",69.4089965820312
"San Diego","CA","1991","06",0
"Flagstaff","AZ","1991","06",18.7660007476807
"Ajo ","AZ","1991","06",0
"Portland","OR","1991","06",61.3009986877441
"Raleigh","NC","1991","07",181.897994995117
"Highlands","NC","1991","07",210.697998046875
"Manteo","NC","1991","07",179.807006835938
"Topeka","KS","1991","07",28.375
"Ann Arbor","MI","1991","07",62.0750007629395
"New York","NY","1991","07",107.012001037598
"San Diego","CA","1991","07",0.0199999995529652
"Flagstaff","AZ","1991","07",48.992000579834
"Ajo ","AZ","1991","07",2.44700002670288
"Portland","OR","1991","07",3.3199999332428
"Raleigh","NC","1991","08",123.392997741699
"Highlands","NC","1991","08",235.725997924805
"Manteo","NC","1991","08",165.608001708984
"Topeka","KS","1991","08",50.5769996643066
"Ann Arbor","MI","1991","08",145.641006469727
"New York","NY","1991","08",176.759002685547
"San Diego","CA","1991","08",9.33500003814697
"Flagstaff","AZ","1991","08",57.3959999084473
"Ajo ","AZ","1991","08",12.6929998397827
"Portland","OR","1991","08",20.5030002593994
"Raleigh","NC","1991","09",56.7529983520508
"Highlands","NC","1991","09",126.503997802734
"Manteo","NC","1991","09",44.4980010986328
"Topeka","KS","1991","09",58.0169982910156
"Ann Arbor","MI","1991","09",30.9069995880127
"New York","NY","1991","09",124.535003662109
"San Diego","CA","1991","09",4.59200000762939
"Flagstaff","AZ","1991","09",42.0690002441406
"Ajo ","AZ","1991","09",45.3819999694824
"Portland","OR","1991","09",6.33300018310547
"Raleigh","NC","1991","10",37.6230010986328
"Highlands","NC","1991","10",21.6650009155273
