"City","State","year","month","temp"
"Raleigh","NC","1981","01",1.56200003623962
"Highlands","NC","1981","01",-2.55000019073486
"Manteo","NC","1981","01",2.44000005722046
"Topeka","KS","1981","01",-0.382000029087067
"Ann Arbor","MI","1981","01",-6.46600008010864
"New York","NY","1981","01",-4.38000011444092
"San Diego","CA","1981","01",15.1600008010864
"Flagstaff","AZ","1981","01",0.837000012397766
"Ajo ","AZ","1981","01",14.6760005950928
"Portland","OR","1981","01",6.97600030899048
"Raleigh","NC","1981","02",6.52400016784668
"Highlands","NC","1981","02",1.36700010299683
"Manteo","NC","1981","02",7.17700052261353
"Topeka","KS","1981","02",1.66300010681152
"Ann Arbor","MI","1981","02",-2.49000000953674
"New York","NY","1981","02",2.8270001411438
"San Diego","CA","1981","02",15.6810007095337
"Flagstaff","AZ","1981","02",0.809000015258789
"Ajo ","AZ","1981","02",14.4150009155273
"Portland","OR","1981","02",6.70300054550171
"Raleigh","NC","1981","03",8.40900039672852
"Highlands","NC","1981","03",4.72200012207031
"Manteo","NC","1981","03",7.91300058364868
"Topeka","KS","1981","03",7.48000049591064
"Ann Arbor","MI","1981","03",2.19000005722046
"New York","NY","1981","03",4.45500040054321
"San Diego","CA","1981","03",14.4220008850098
"Flagstaff","AZ","1981","03",0.998000025749207
"Ajo ","AZ","1981","03",15.8950004577637
"Portland","OR","1981","03",9.653000831604
"Raleigh","NC","1981","04",17.3870010375977
"Highlands","NC","1981","04",13.7260007858276
"Manteo","NC","1981","04",17.0830001831055
"Topeka","KS","1981","04",16.230001449585
"Ann Arbor","MI","1981","04",10.6050004959106
"New York","NY","1981","04",12.6760005950928
"San Diego","CA","1981","04",16.8280010223389
"Flagstaff","AZ","1981","04",7.55300045013428
"Ajo ","AZ","1981","04",22.0970001220703
"Portland","OR","1981","04",11.0750007629395
"Raleigh","NC","1981","05",18.3980007171631
"Highlands","NC","1981","05",13.8620004653931
"Manteo","NC","1981","05",18.693000793457
"Topeka","KS","1981","05",16.2700004577637
"Ann Arbor","MI","1981","05",13.5800008773804
"New York","NY","1981","05",17.3830013275146
"San Diego","CA","1981","05",18.6160011291504
"Flagstaff","AZ","1981","05",9.77500057220459
"Ajo ","AZ","1981","05",24.4910011291504
"Portland","OR","1981","05",14.081000328064
"Raleigh","NC","1981","06",26.2430019378662
"Highlands","NC","1981","06",20.4090003967285
"Manteo","NC","1981","06",26.0910015106201
"Topeka","KS","1981","06",23.94700050354
"Ann Arbor","MI","1981","06",20.1060009002686
"New York","NY","1981","06",22.6230010986328
"San Diego","CA","1981","06",22.3390007019043
"Flagstaff","AZ","1981","06",17.6220016479492
"Ajo ","AZ","1981","06",32.2639999389648
"Portland","OR","1981","06",16.3490009307861
"Raleigh","NC","1981","07",26.2840003967285
"Highlands","NC","1981","07",20.871000289917
"Manteo","NC","1981","07",26.6330013275146
"Topeka","KS","1981","07",26.3530006408691
"Ann Arbor","MI","1981","07",22.3770008087158
"New York","NY","1981","07",25.5810012817383
"San Diego","CA","1981","07",23.4640007019043
"Flagstaff","AZ","1981","07",18.0690002441406
"Ajo ","AZ","1981","07",32.673999786377
"Portland","OR","1981","07",19.5070018768311
"Raleigh","NC","1981","08",23.5930004119873
"Highlands","NC","1981","08",18.859001159668
"Manteo","NC","1981","08",24.6950016021729
"Topeka","KS","1981","08",23.068000793457
"Ann Arbor","MI","1981","08",21.1040000915527
"New York","NY","1981","08",23.8990020751953
"San Diego","CA","1981","08",23.8940010070801
"Flagstaff","AZ","1981","08",17.3159999847412
"Ajo ","AZ","1981","08",32.7130012512207
"Portland","OR","1981","08",22.0200004577637
"Raleigh","NC","1981","09",20.5880012512207
"Highlands","NC","1981","09",15.9310007095337
"Manteo","NC","1981","09",22.5110015869141
"Topeka","KS","1981","09",20.0110015869141
"Ann Arbor","MI","1981","09",16.3299999237061
"New York","NY","1981","09",19.2400016784668
"San Diego","CA","1981","09",22.3400001525879
"Flagstaff","AZ","1981","09",14.0190010070801
"Ajo ","AZ","1981","09",30.1860008239746
"Portland","OR","1981","09",17.9080009460449
"Raleigh","NC","1981","10",14.4690008163452
"Highlands","NC","1981","10",10.7210006713867
"Manteo","NC","1981","10",16.730001449585
"Topeka","KS","1981","10",13.4200010299683
"Ann Arbor","MI","1981","10",8.3700008392334
"New York","NY","1981","10",11.6830005645752
"San Diego","CA","1981","10",18.4370002746582
"Flagstaff","AZ","1981","10",7.28400039672852
"Ajo ","AZ","1981","10",21.3440017700195
"Portland","OR","1981","10",11.9090003967285
"Raleigh","NC","1981","11",10.2130002975464
"Highlands","NC","1981","11",6.18900012969971
"Manteo","NC","1981","11",11.6510009765625
"Topeka","KS","1981","11",8.35500049591064
"Ann Arbor","MI","1981","11",5.06700038909912
"New York","NY","1981","11",7.86500024795532
"San Diego","CA","1981","11",16.8540000915527
"Flagstaff","AZ","1981","11",4.29100036621094
"Ajo ","AZ","1981","11",18.4200000762939
"Portland","OR","1981","11",9.23300075531006
"Raleigh","NC","1981","12",4.06700038909912
"Highlands","NC","1981","12",-0.244000017642975
"Manteo","NC","1981","12",6.24500036239624
"Topeka","KS","1981","12",-0.674000024795532
"Ann Arbor","MI","1981","12",-2.37100005149841
"New York","NY","1981","12",1.53000009059906
"San Diego","CA","1981","12",14.6200008392334
"Flagstaff","AZ","1981","12",1.31900000572205
"Ajo ","AZ","1981","12",13.8350009918213
"Portland","OR","1981","12",6.12100028991699
"Raleigh","NC","1991","01",5.7310004234314
"Highlands","NC","1991","01",1.28400003910065
"Manteo","NC","1991","01",8.48900032043457
"Topeka","KS","1991","01",-4.26999998092651
"Ann Arbor","MI","1991","01",-4.32100009918213
"New York","NY","1991","01",0.348000019788742
"San Diego","CA","1991","01",13.6620006561279
"Flagstaff","AZ","1991","01",-2.59800004959106
"Ajo ","AZ","1991","01",12.0390005111694
"Portland","OR","1991","01",4.73900032043457
"Raleigh","NC","1991","02",8.29600048065186
"Highlands","NC","1991","02",2.39900016784668
"Manteo","NC","1991","02",9.21000003814697
"Topeka","KS","1991","02",4.82300043106079
"Ann Arbor","MI","1991","02",-0.715000033378601
